category1,category2,relationship
bat-animal,bat-sport,homonym
palm-tree,palm-hand,homonym
seal-object,seal-animal,homonym
trunk-car,trunk-elephant,homonym
glasses-eye,glasses-drink,homonym
mouse-comp,mouse-squeak,homonym
flower,flour,homophone
tee,tea,homophone
bear,hair,nonOrthoRhyme
chair,pear,nonOrthoRhyme
soap,rope,nonOrthoRhyme
plane,train,nonOrthoRhyme
key,tree,nonOrthoRhyme
snail,whale,nonOrthoRhyme
deer,beer,orthoRhyme
shell,bell,orthoRhyme
sock,clock,orthoRhyme
box,fox,orthoRhyme
cat,hat,orthoRhyme
cake,rake,orthoRhyme
comb,bomb,similarSpelling
cow,bow,similarSpelling
root,foot,similarSpelling
watch,match,similarSpelling
bowl,owl,similarSpelling
shoe,toe,similarSpelling
